genomefile,brieftax,f_major,f_ident,f_removed,n_reason_1,n_reason_2,n_reason_3,refsize,ratio,clean_bp,clean_n,dirty_n,dirty_bp,missed_n,missed_bp,taxguessed,taxprovided,comment
TARA_ASW_MAG_00041.fa,genus g__None,0.2857142857142857,0.0015978087194704405,0.006888916733076581,0,7,0,0,0.0,4335489,873,7,30074,21,64467,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ASW_MAG_00042.fa,genus g__None,0.5238095238095238,0.0017985611510791368,0.00788630744635871,0,24,1,0,0.0,11734690,3041,25,93279,105,318805,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ASW_MAG_00043.fa,genus g__None,0.2,0.002560163850486431,0.012147774287987823,0,5,0,0,0.0,1992493,516,5,24502,20,57978,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ASW_MAG_00044.fa,genus g__Pseudoalteromonas,0.996316758747698,0.6908396946564885,0.0037750172300194964,0,1,1,4208000,0.56,2364803,650,2,8961,21,64154,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas marina,,
TARA_ASW_MAG_00045.fa,genus g__None,0.1111111111111111,0.003389830508474576,0.0301973852954508,0,45,0,0,0.0,5164903,1514,45,160823,77,227301,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ASW_MAG_00046.fa,genus g__None,0.42857142857142855,0.0003816585791396325,0.006868704455977108,0,4,1,0,0.0,17933088,1199,5,124029,2,6790,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ASW_MAG_00047.fa,genus g__None,0.5,0.0004042037186742118,0.001299993133698108,0,2,0,0,0.0,4988917,1430,2,6494,57,168158,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ION_MAG_00001.fa,genus g__TMED27,0.9989165763813651,0.8790476190476191,0.0,0,0,0,2002000,1.03,2070973,83,0,0,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__TMED27;s__TMED27 sp002687495,,
TARA_ION_MAG_00002.fa,genus g__Brevundimonas,0.9858690532265661,0.6626092384519351,0.0022323362066618653,0,0,1,3318000,0.97,3225272,91,1,7216,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp001310255,,
TARA_ION_MAG_00004.fa,genus g__Limnobacter,0.9949720670391061,0.5308422301304864,0.0,0,0,0,3451000,0.98,3376283,40,0,0,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnobacter;s__Limnobacter sp002954425,,
TARA_ION_MAG_00005.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00006.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00007.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00009.fa,genus g__ASP10-02a,0.9964788732394366,0.7763805358119191,0.0,0,0,0,1390000,1.38,1912389,60,0,0,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__ASP10-02a;s__ASP10-02a sp002686055,,
TARA_ION_MAG_00011.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00012.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00014.fa,genus g__UBA2009,0.9799562682215743,0.6201129943502824,0.01341690640745051,0,1,2,3650000,1.21,4409102,107,3,59961,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__UBA2009;s__UBA2009 sp002706025,,
TARA_ION_MAG_00015.fa,genus g__Microbacterium,0.9897879025923016,0.849799732977303,0.023413649188157054,2,1,1,2890000,1.01,2910658,87,4,69783,1,3358,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium ginsengisoli,,
TARA_ION_MAG_00016.fa,genus g__UBA2705,0.9996092223524814,0.9930151338766007,0.0,0,0,0,2858000,0.9,2566670,80,0,0,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA2705;s__UBA2705 sp002690045,,
TARA_ION_MAG_00017.fa,genus g__UBA9659,0.9967948717948718,0.47158403869407495,0.002901878624951436,0,1,0,2954000,1.14,3380036,183,1,9837,2,6888,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9659;s__UBA9659 sp002694945,,
TARA_ION_MAG_00018.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00020.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00022.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00023.fa,genus g__Marinobacter,0.9952223447262036,0.8895063746322328,0.0022051343903110626,0,2,0,3812000,0.81,3069220,134,2,6783,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter lutaoensis,,
TARA_ION_MAG_00024.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00025.fa,genus g__Labrenzia,0.9920806335493161,0.6750364490523246,0.00903740484107706,1,5,1,6555000,0.95,6209988,623,7,56634,8,27738,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Labrenzia;s__Labrenzia aggregata_A,,
TARA_ION_MAG_00026.fa,genus g__UBA7985,0.9740437158469946,0.4455264759586123,0.014561961504576745,0,5,0,2625000,0.63,1649845,238,5,24380,5,15622,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7985;f__UBA7985;g__UBA7985;s__UBA7985 sp002708995,,
TARA_ION_MAG_00027.fa,genus g__UBA2125,0.7866205305651672,0.8072625698324022,0.20835225969206161,1,16,38,1959000,0.88,1718425,154,55,452269,3,9757,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__S15-B10;g__UBA2125;s__UBA2125 sp002329125,,
TARA_ION_MAG_00028.fa,genus g__UBA8592,0.9844632768361582,0.7151515151515152,0.04457442263106035,3,3,4,1792000,0.55,986132,163,10,46007,2,7443,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA8592;g__UBA8592;s__UBA8592 sp002724825,,
TARA_ION_MAG_00029.fa,genus g__Sphingobium,0.9650887573964497,0.65,0.04131844087381633,4,2,2,3811000,0.67,2569280,353,8,110734,5,14733,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp000153545,,
TARA_ION_MAG_00031.fa,genus g__MB11C04,0.9992997198879552,0.8535564853556485,0.0,0,0,0,2832000,0.58,1635760,257,0,0,5,15996,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04;s__MB11C04 sp002694035,,
TARA_ION_MAG_00032.fa,genus g__Spongiibacter,0.9606401384083045,0.6325581395348837,0.06267202226019346,3,4,8,3944000,0.87,3448798,216,15,230595,2,8519,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Spongiibacter;s__Spongiibacter tropicus,,
TARA_ION_MAG_00033.fa,genus g__MGIIb-O3,0.9963636363636363,0.17707662588538314,0.003884859997690191,0,1,0,1429000,1.05,1500765,105,1,5853,2,9253,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp002712575,,
TARA_ION_MAG_00034.fa,genus g__MGIIb-O3,0.9507133592736705,0.6037588097102584,0.06820995286503884,0,0,9,1159000,1.06,1232174,137,9,90199,3,8555,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp002718695,,
TARA_ION_MAG_00035.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00036.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00037.fa,genus g__Algoriphagus,0.9802431610942249,0.40454964648017216,0.029221838760128314,2,12,2,4144000,0.75,3096727,589,16,93216,20,64505,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Algoriphagus;s__Algoriphagus ornithinivorans,,
TARA_ION_MAG_00038.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00039.fa,genus g__MED-G20,0.9983593109105825,0.8332194121667806,0.0016696683666134289,0,1,0,1936000,0.79,1527689,288,1,2555,7,22196,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__MED-G20;s__MED-G20 sp002686655,,
TARA_ION_MAG_00040.fa,genus g__MGIIb-O3,1.0,0.47545008183306053,0.0,0,0,0,1494000,0.8,1198561,159,0,0,4,14397,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp002716085,,
TARA_ION_MAG_00041.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00042.fa,genus g__UBA2589,0.9871621621621621,0.7969843834141088,0.03157680879429081,4,4,3,2213000,0.82,1806577,337,11,58906,9,27467,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__UBA2589;s__UBA2589 sp002348465,,
TARA_ION_MAG_00043.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00044.fa,genus g__MGIIb-O3,0.9943181818181818,0.26525998492840996,0.0035816394101161504,0,1,0,1281000,0.99,1269991,106,1,4565,0,0,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O3;s__MGIIb-O3 sp002713185,,
TARA_ION_MAG_00045.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00046.fa,genus g__GCA-2712105,0.9951807228915662,0.48088064889918886,0.0,0,0,0,871000,0.97,847736,126,0,0,3,8712,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__Kiritimatiellales;f__UBA1859;g__GCA-2712105;s__GCA-2712105 sp002712105,,
TARA_ION_MAG_00047.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00048.fa,genus g__Thalassospira,0.9989258861439313,0.5855345911949685,0.0017630275025937153,0,1,0,4467000,0.35,1571222,390,1,2775,12,35180,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Thalassospiraceae;g__Thalassospira;s__Thalassospira lohafexi,,
TARA_ION_MAG_00049.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00050.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00051.fa,genus g__Fabibacter,0.9995629370629371,0.8861347792408986,0.0015577503781341467,0,1,0,4262000,0.61,2583675,561,1,4031,17,56144,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Fabibacter;s__Fabibacter sp002296035,,
TARA_ION_MAG_00052.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00053.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00054.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00055.fa,genus g__UBA6944,0.9975247524752475,0.6722129783693843,0.0021586774199578505,0,1,0,2452000,0.5,1227727,247,1,2656,9,28333,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__TK06;g__UBA6944;s__UBA6944 sp002296525,,
TARA_ION_MAG_00056.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00057.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00058.fa,genus g__Pseudomonas_E,0.9789600240456868,0.6711720798870284,0.010237258957406228,2,0,2,5126000,0.99,5066351,128,4,52402,1,3291,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E oleovorans_A,,
TARA_ION_MAG_00059.fa,genus g__Idiomarina,0.6236323851203501,0.19145370758273983,0.1277530971032211,0,60,23,2774000,0.75,2080424,541,83,304708,22,64968,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Idiomarina;s__Idiomarina sp002968395,,
TARA_ION_MAG_00060.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00064.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_ION_MAG_00066.fa,genus g__None,1.0,8.8999644001424e-05,0.0003194013425539888,0,1,0,0,0.0,22644517,5542,1,7235,189,580228,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ION_MAG_00067.fa,genus g__Oleibacter,0.9969203695556533,0.8003521126760563,0.0121028867764743,2,0,1,3909000,0.74,2905847,342,3,35600,4,13074,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__Oleibacter;s__Oleibacter sp002724925,,
TARA_ION_MAG_00070.fa,genus g__Alteromonas_A,0.9991224221149627,0.9810589754627637,0.002509400286105292,1,1,0,4371000,0.52,2252244,348,2,5666,11,34371,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas_A;s__Alteromonas_A sp002335925,,
TARA_ION_MAG_00071.fa,genus g__None,0.25,0.0005852231163130944,0.002214884730870037,0,4,0,0,0.0,6901969,1918,4,15321,72,216626,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ION_MAG_00072.fa,genus g__None,0.6967741935483871,0.01140125045972784,0.04323229742517713,0,22,14,0,0.0,13076923,1189,36,590891,16,52088,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ION_MAG_00073.fa,genus g__None,0.8760330578512396,0.08989598811292719,0.13506811380411893,0,34,53,0,0.0,3496296,963,87,545983,47,138272,,d__Eukaryota;p__None;c__None;o__None;f__None;g__None;s__None,
TARA_ION_MAG_00074.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_IOS_MAG_00001.fa,genus g__UBA1977,0.9984042553191489,0.8880491261218706,0.0,0,0,0,1943000,1.07,2081161,47,0,0,0,0,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__UBA1977;g__UBA1977;s__UBA1977 sp002313355,,
TARA_IOS_MAG_00003.fa,genus g__Marinicaulis,0.999751552795031,0.9894296951819076,0.0018855718932416408,0,1,0,4491000,0.9,4056356,40,1,7663,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Parvularculaceae;g__Marinicaulis;s__Marinicaulis sp002704915,,
TARA_IOS_MAG_00004.fa,genus g__GCA-002724395,1.0,0.9095652173913044,0.0,0,0,0,3281000,0.91,2981990,79,0,0,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__GCA-002724395;s__GCA-002724395 sp002724395,,
TARA_IOS_MAG_00005.fa,genus g__UBA5691,1.0,0.9701770736253494,0.0,0,0,0,3115000,1.04,3237345,23,0,0,0,0,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__UBA5691;s__UBA5691 sp002420185,,
TARA_IOS_MAG_00006.fa,genus g__Alcanivorax,0.9821847163619315,0.6686520376175549,0.003929043478260869,1,2,0,3421000,0.94,3221667,121,3,12708,1,2895,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax sp002354605,,
TARA_IOS_MAG_00008.fa,genus g__Oceanicaulis,0.9438491213030433,0.6993405275779376,0.06291195790313316,0,4,6,3066000,1.03,3148494,62,10,211376,1,2647,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Oceanicaulis;s__Oceanicaulis sp000152745,,
TARA_IOS_MAG_00010.fa,genus g__GCA-2717285,0.9993141289437586,0.8064159292035398,0.013377831672515036,0,1,0,1894000,0.94,1776134,87,1,24083,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__2-02-FULL-58-16_A;g__GCA-2717285;s__GCA-2717285 sp002717285,,
TARA_IOS_MAG_00011.fa,genus g__MedAcidi-G1,0.9973544973544973,0.8451648965902739,0.00862483060588559,0,2,0,1748000,1.0,1754280,176,2,15262,0,0,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__MedAcidi-G1;s__MedAcidi-G1 sp002294285,,
TARA_IOS_MAG_00012.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_IOS_MAG_00013.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_IOS_MAG_00014.fa,genus g__UBA5691,0.9638922888616891,0.903511197124689,0.035612742957507305,0,6,14,3654000,0.95,3478405,289,20,128450,5,19221,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__UBA5691;s__UBA5691 sp002694885,,
TARA_IOS_MAG_00015.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_IOS_MAG_00016.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_IOS_MAG_00017.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_IOS_MAG_00018.fa,genus g__Roseibacillus,0.9954841946813848,0.5905185185185186,0.006665156193123627,0,2,1,3486000,0.99,3454757,552,3,23181,9,33199,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus;s__Roseibacillus sp002709395,,
TARA_IOS_MAG_00019.fa,genus g__GCA-2716065,0.9928635147190009,0.5307765151515151,0.003751036658067095,0,2,0,2304000,0.94,2168301,334,2,8164,6,17395,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__GCA-2716065;s__GCA-2716065 sp002716065,,
TARA_IOS_MAG_00020.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_IOS_MAG_00022.fa,genus g__MGIIb-O2,0.9895379250217959,0.8769113149847095,0.11733593079033913,8,2,2,1369000,0.86,1179850,93,12,156842,0,0,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002497245,,
TARA_IOS_MAG_00023.fa,genus g__UBA1479,0.9959699086512628,0.8694230320018688,0.002248712535956203,0,1,0,3878000,1.06,4129062,80,1,9306,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__UBA1479;g__UBA1479;s__UBA1479 sp002696205,,
TARA_IOS_MAG_00024.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_IOS_MAG_00025.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_IOS_MAG_00026.fa,genus g__UBA9145,0.9858356940509915,0.22355921469284357,0.01806504039630573,0,4,0,2530000,0.62,1570875,361,4,28900,14,41848,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002729315,,
TARA_IOS_MAG_00027.fa,genus g__UBA11606,0.9989130434782608,0.8753568030447193,0.012564021006030471,5,0,0,2586000,0.82,2129617,372,5,27097,10,30397,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__UBA11606;s__UBA11606 sp002694825,,
TARA_IOS_MAG_00028.fa,genus g__UBA974,0.9978586723768736,0.8691066997518611,0.0,0,0,0,1839000,0.88,1610285,199,0,0,2,8277,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__UBA974 sp002693775,,
TARA_IOS_MAG_00029.fa,genus g__UBA4421,0.9914011127971675,0.7923847695390781,0.014022796464693791,1,2,3,2540000,0.97,2472678,347,6,35167,8,25842,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__UBA4421 sp002348825,,
TARA_IOS_MAG_00030.fa,genus g__MGIIb-O1,1.0,0.9211382113821138,0.0,0,0,0,1497000,0.82,1231962,43,0,0,0,0,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp002498725,,
TARA_IOS_MAG_00031.fa,genus g__GCA-002697625,0.9954476479514416,0.8923493568043331,0.006664808549508989,0,2,1,1729000,0.85,1464783,197,3,9828,3,7669,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-002697625;s__GCA-002697625 sp002696275,,
TARA_IOS_MAG_00033.fa,genus g__Casp-actino5,0.9700598802395209,0.4123456790123457,0.012960429412178691,0,1,4,1827000,1.08,1977517,196,5,25966,2,5854,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Casp-actino5;s__Casp-actino5 sp002727235,,
TARA_IOS_MAG_00034.fa,genus g__UBA1668,0.992619926199262,0.844612644701692,0.008031817678090518,0,4,2,2869000,0.79,2255692,364,6,18264,8,27717,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA1668;s__UBA1668 sp002702575,,
TARA_IOS_MAG_00035.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_IOS_MAG_00036.fa,genus g__MB11C04,0.9895833333333334,0.1786046511627907,0.021317489411440772,1,1,1,2191000,0.5,1087650,222,3,23691,5,14223,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04;s__MB11C04 sp002167605,,
TARA_IOS_MAG_00037.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_IOS_MAG_00038.fa,genus g__MGIIa-L1,0.9700534759358289,0.5982085732565579,0.051072126012670874,3,9,5,1615000,0.91,1472347,252,17,79243,8,25020,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L1;s__MGIIa-L1 sp002496955,,
TARA_IOS_MAG_00039.fa,genus g__MGIIb-N1,0.9979253112033195,0.7467079783113865,0.006699286862802352,0,2,0,1401000,0.9,1262071,128,2,8512,2,5289,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-N1;s__MGIIb-N1 sp002499585,,
TARA_IOS_MAG_00040.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_IOS_MAG_00041.fa,genus g__Roseibacillus,0.9992869875222816,0.8953080114905841,0.004452363683628217,2,0,0,3832000,0.82,3155664,524,2,14113,10,28978,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus;s__Roseibacillus sp002686085,,
TARA_IOS_MAG_00042.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_IOS_MAG_00044.fa,genus g__MB11C04,0.9973404255319149,0.6675543719485131,0.0011974394642527933,0,0,1,2430000,0.93,2264623,322,1,2715,5,18365,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04;s__MB11C04 sp002692605,,
TARA_IOS_MAG_00045.fa,genus g__Thalassarchaeum,0.9977653631284916,0.7991071428571429,0.0,0,0,0,1226000,0.97,1184019,149,0,0,1,2819,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002501885,,
TARA_IOS_MAG_00046.fa,genus g__UBA6944,0.9990412272291467,0.6707395498392283,0.0,0,0,0,2452000,0.65,1601565,241,0,0,7,19692,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__TK06;g__UBA6944;s__UBA6944 sp002296525,,
TARA_IOS_MAG_00047.fa,genus g__MGIIa-K1,0.9927536231884058,0.6172523961661341,0.017514267776071703,4,1,0,1724000,0.93,1597735,208,5,28482,6,17400,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K1;s__MGIIa-K1 sp002720115,,
TARA_IOS_MAG_00048.fa,,,,,,,,,,,,,,,,,,too few identifiable hashes; < 10%. provide a lineage for this genome.
TARA_IOS_MAG_00049.fa,genus g__UBA1268,1.0,0.40667361835245047,0.0,0,0,0,1262000,1.54,1938880,421,0,0,10,27026,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__UBA1268;s__UBA1268 sp002694955,,
TARA_IOS_MAG_00051.fa,genus g__GCA-002707905,0.9920792079207921,0.38697318007662834,0.011391557013116553,0,4,0,914000,1.45,1322159,226,4,15235,6,16108,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__S15-B10;g__GCA-002707905;s__GCA-002707905 sp002707905,,
TARA_IOS_MAG_00052.fa,genus g__GCA-2701885,0.9908759124087592,0.6309729418537708,0.013757605073205476,0,3,1,2163000,0.8,1739200,225,4,24261,5,14307,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__GCA-2701885;f__GCA-2701885;g__GCA-2701885;s__GCA-2701885 sp002722055,,
